City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
31,egilsstadir,65.2653,-14.3948,10.95,82,75,1.03,IS,1685740758
32,fort bragg,35.139,-79.006,28.05,56,62,3.58,US,1685740349
33,richards bay,-28.783,32.0377,16.46,85,88,3.5,ZA,1685740759
34,digri,25.1558,69.1113,30.5,67,94,7.45,PK,1685740759
35,tokar,18.4254,37.729,31.88,52,12,3.52,SD,1685740760
36,saipan,15.1355,145.701,28.39,100,40,6.17,MP,1685740760
37,grytviken,-54.2811,-36.5092,1.7,90,41,1.66,GS,1685740761
38,udachny,66.4167,112.4,11.92,71,100,7.7,RU,1685740762
39,bamboo flat,11.7,92.7167,27.9,77,100,6.93,IN,1685740762
40,lompoc,34.6391,-120.4579,24.83,72,3,8.05,US,1685740762
41,qaqortoq,60.7167,-46.0333,3.1,98,100,0.46,GL,1685740763
42,mahomet,40.1953,-88.4042,34.08,21,4,3.13,US,1685740764
43,bandarbeyla,9.4942,50.8122,27.83,82,80,8.58,SO,1685740765
44,hawaiian paradise park,19.5933,-154.9731,26.73,75,40,3.6,US,1685740765
45,arraial do cabo,-22.9661,-42.0278,21.92,88,20,5.14,BR,1685740766
46,blackmans bay,-43.0167,147.3167,8.62,84,100,1.73,AU,1685740766
47,kununurra,-15.7667,128.7333,14.99,88,6,0.0,AU,1685740767
48,orange walk,17.8333,-88.8333,39.46,24,27,3.8,BZ,1685740767
49,ghat,24.9647,10.1728,31.4,11,3,1.1,LY,1685740768
50,ancud,-41.8697,-73.8203,11.28,85,100,12.47,CL,1685740768
51,ushuaia,-54.8,-68.3,7.81,76,75,1.03,AR,1685740768
52,muynoq,43.7683,59.0214,22.88,51,100,3.82,UZ,1685740769
53,midvagur,62.0511,-7.1939,8.46,100,20,4.63,FO,1685740769
54,yellowknife,62.456,-114.3525,20.31,19,20,6.17,CA,1685740770
55,baicheng,45.6167,122.8167,14.2,61,19,2.8,CN,1685740770
56,suva,-18.1416,178.4415,24.71,94,75,4.12,FJ,1685740568
57,kibakwe,-6.7167,36.3667,16.47,92,2,1.85,TZ,1685740771
58,harstad,68.799,16.5293,5.66,97,100,14.75,NO,1685740771
59,fallon,39.4735,-118.7774,24.14,27,40,2.06,US,1685740772
60,tezu,27.9167,96.1667,26.31,52,15,1.89,IN,1685740772
61,masterton,-40.9597,175.6575,9.94,77,3,1.2,NZ,1685740773
62,menongue,-14.6585,17.691,19.76,42,44,0.38,AO,1685740773
63,papao,-17.75,-149.55,26.82,63,60,2.11,PF,1685740773
64,kodiak,57.79,-152.4072,10.73,71,0,4.63,US,1685740774
65,caleta de carquin,-11.0925,-77.6267,22.29,74,78,4.31,PE,1685740774
66,iqaluit,63.7506,-68.5145,2.85,69,100,2.06,CA,1685740775
67,la junta,37.985,-103.5438,27.81,42,40,3.6,US,1685740775
68,codrington,-38.2667,141.9667,11.02,94,100,1.1,AU,1685740775
69,port elizabeth,-33.918,25.5701,15.16,75,0,3.6,ZA,1685740776
70,vadso,70.0744,29.7487,5.49,70,75,3.09,NO,1685740776
71,brookings,44.3114,-96.7984,30.06,68,40,7.72,US,1685740628
72,port mathurin,-19.6833,63.4167,25.02,62,2,10.02,MU,1685740777
73,la ronge,55.1001,-105.2842,19.14,72,100,3.09,CA,1685740777
74,phetchabun,16.25,101.0833,26.95,69,40,0.6,TH,1685740778
75,st. john's,47.5649,-52.7093,7.72,97,100,5.14,CA,1685740649
76,iskateley,67.6803,53.1512,6.78,81,71,2.88,RU,1685740779
77,stanley,54.868,-1.6985,9.18,88,0,1.03,GB,1685740779
78,thompson,55.7435,-97.8558,26.09,47,75,1.03,CA,1685740779
79,kirkwall,58.9848,-2.9587,8.03,87,0,2.57,GB,1685740780
80,takaungu,-3.6837,39.8566,24.4,89,11,4.42,KE,1685740780
81,keflavik,64.0049,-22.5624,10.95,76,100,3.09,IS,1685740781
82,sisimiut,66.9395,-53.6735,1.08,65,7,2.6,GL,1685740781
83,pushkinskiye gory,57.0209,28.9103,5.77,66,73,2.7,RU,1685740781
84,whitehorse,60.7161,-135.0538,16.72,32,75,7.2,CA,1685740782
85,atafu village,-8.5421,-172.5159,28.57,72,90,3.35,TK,1685740783
86,plastun,44.7561,136.2939,10.43,83,100,0.66,RU,1685740783
87,badger,64.8,-147.5333,5.95,86,100,3.6,US,1685740783
88,college,64.8569,-147.8028,5.99,86,100,3.6,US,1685740784
89,george town,5.4112,100.3354,28.96,79,20,0.0,MY,1685740286
90,albany,42.6001,-73.9662,27.23,90,73,1.28,US,1685740368
91,vaxjo,56.8777,14.8091,10.03,77,100,4.12,SE,1685740785
92,wailua homesteads,22.0669,-159.378,27.24,75,40,6.17,US,1685740786
93,murray bridge,-35.1167,139.2667,16.3,78,99,2.62,AU,1685740786
94,ostersund,63.1792,14.6357,5.25,42,100,4.12,SE,1685740608
95,new norfolk,-42.7826,147.0587,9.28,79,100,0.45,AU,1685740787
96,tchintabaraden,15.8969,5.7985,35.37,24,91,4.2,NE,1685740787
97,kone,-21.0595,164.8658,21.72,76,1,2.45,NC,1685740788
98,uray,60.1247,64.7758,16.18,68,100,2.44,RU,1685740788
99,hermanus,-34.4187,19.2345,16.0,69,24,9.92,ZA,1685740789
100,tiksi,71.6872,128.8694,2.77,91,53,0.6,RU,1685740789
101,phang nga,8.4509,98.5298,28.02,94,99,1.26,TH,1685740535
102,ilulissat,69.2167,-51.1,-0.99,80,75,4.63,GL,1685740387
103,kurumkan,54.3,110.3,11.16,62,100,0.22,RU,1685740790
104,trikala,39.5553,21.7675,18.02,52,88,0.78,GR,1685740791
105,invercargill,-46.4,168.35,8.58,75,97,5.33,NZ,1685740791
106,happy valley-goose bay,53.3168,-60.3315,5.17,65,75,7.2,CA,1685740792
107,kapa'a,22.0752,-159.319,27.99,75,40,6.17,US,1685740792
108,zarumilla,-3.5031,-80.2731,30.1,70,40,4.63,PE,1685740792
109,tolanaro,-25.0319,46.9987,19.8,86,40,5.31,MG,1685740793
110,laojunmiao,39.8333,97.7333,13.36,26,99,3.88,CN,1685740793
111,tieling,42.2931,123.8414,13.76,49,54,0.81,CN,1685740794
112,lerwick,60.1545,-1.1494,9.0,80,1,3.08,GB,1685740794
113,korsakov,46.6328,142.7813,6.91,86,100,6.24,RU,1685740794
114,aasiaat,68.7098,-52.8699,-0.64,75,91,3.8,GL,1685740795
115,ola,59.5833,151.2833,10.29,66,35,1.24,RU,1685740795
116,tazacorte,28.629,-17.9293,22.54,86,75,1.54,ES,1685740796
117,colonia,50.9333,6.95,16.06,59,0,1.03,DE,1685740796
118,sao jose de ribamar,-2.5619,-44.0542,26.21,85,3,4.16,BR,1685740796
119,fale old settlement,-9.3852,-171.2468,28.33,75,52,2.15,TK,1685740797
120,auki,-8.7676,160.7034,27.2,82,97,1.59,SB,1685740797
121,fuglafjordur,62.244,-6.814,8.26,92,86,3.84,FO,1685740797
122,utrik,11.2278,169.8474,27.27,81,99,5.57,MH,1685740798
123,quibdo,5.6947,-76.6611,30.07,71,96,0.8,CO,1685740798
124,pingliang,35.5392,106.6861,13.42,73,100,1.05,CN,1685740799
125,tibanbang,6.6315,126.1055,27.81,80,100,1.55,PH,1685740799
126,isafjordur,66.0755,-23.124,9.89,82,97,4.65,IS,1685740799
127,carnarvon,-24.8667,113.6333,15.71,56,0,7.61,AU,1685740800
128,riyadh,24.6877,46.7219,30.08,11,58,5.77,SA,1685740801
129,ust-nera,64.5667,143.2,14.54,64,9,1.99,RU,1685740801
130,waddan,29.1614,16.139,26.23,34,25,8.49,LY,1685740801
131,terek,43.4833,44.1361,18.12,88,24,0.1,RU,1685740802
132,labytnangi,66.6572,66.4183,11.68,70,6,3.2,RU,1685740803
133,vilyuchinsk,52.9306,158.4028,6.15,91,100,1.48,RU,1685740803
134,fauske,67.2588,15.3918,6.02,97,100,3.05,NO,1685740804
135,dudinka,69.4058,86.1778,6.7,90,100,11.14,RU,1685740804
136,nanding,36.7483,118.0558,20.61,27,96,1.84,CN,1685740805
137,kupang,-10.1667,123.5833,24.32,88,20,3.6,ID,1685740805
138,san patricio,28.017,-97.5169,32.87,50,35,6.12,US,1685740806
139,lorengau,-2.0226,147.2712,26.56,85,100,4.45,PG,1685740806
140,arno,60.1167,18.6333,8.21,56,11,2.92,SE,1685740807
141,georgetown,5.4112,100.3354,28.96,85,40,1.54,MY,1685740783
142,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,87,75,1.0,RU,1685740807
143,sitka,57.0531,-135.33,12.94,67,100,4.12,US,1685740808
144,saudarkrokur,65.7461,-19.6394,12.72,70,75,2.93,IS,1685740808
145,staraya kulatka,52.7167,47.6167,15.67,76,100,2.94,RU,1685740809
146,naze,28.3667,129.4833,22.51,81,3,6.51,JP,1685740809
147,chonchi,-42.6128,-73.8092,10.56,89,100,6.11,CL,1685740646
148,tazovsky,67.4667,78.7,7.18,83,6,7.21,RU,1685740810
149,honggang,46.4667,124.8667,13.39,71,45,4.21,CN,1685740810
150,selkirk,50.1436,-96.8845,31.73,49,98,1.79,CA,1685740560
151,badagry,6.4167,2.8833,26.96,81,100,5.62,NG,1685740811
152,luderitz,-26.6481,15.1594,12.12,86,84,4.51,NA,1685740812
153,naliya,23.2667,68.8333,28.37,83,50,6.56,IN,1685740757
154,kimbe,-5.5502,150.1429,24.44,93,100,0.78,PG,1685740813
155,betafo,-19.8333,46.85,10.63,90,2,2.21,MG,1685740813
156,anadyr,64.75,177.4833,9.28,46,0,3.0,RU,1685740814
157,tari,12.4086,4.4914,26.24,65,100,9.13,NG,1685740814
158,bangar,16.8936,120.4243,26.17,84,100,2.1,PH,1685740814
159,balsas,-7.5325,-46.0356,29.22,44,53,2.08,BR,1685740815
160,talnakh,69.4865,88.3972,4.99,97,100,6.32,RU,1685740815
161,okha,53.5739,142.9478,1.84,98,100,4.71,RU,1685740816
162,bonthe,7.5264,-12.505,26.11,88,100,3.33,SL,1685740816
163,tromso,69.6496,18.957,7.01,70,75,6.17,NO,1685740817
164,akureyri,65.6835,-18.0878,13.96,58,75,2.06,IS,1685740817
165,pangody,65.85,74.4859,11.71,65,5,3.97,RU,1685740818
